name	RWRscore
ABCB1	0.844017862167918
ABCB6	0.894181654595741
ABCC3	0.88901020453512
ACADL	0.820095199654975
ACOT7	0.869508951382926
ACSL1	0.80963934988048
ACSM3	0.833696062889625
ACSS2	0.818475037471933
ADAR	0.823845310111099
ADIPOQ	0.839738530163583
AHSA1	0.836667862507827
AKAP12	0.886530933009362
AKR1B10	0.823309977234796
AKR1C4	0.87931634940782
ALDH2	0.819514825775431
ANO1	0.909870823252248
ANXA2	0.85160788804672
APEX1	0.847345853560525
APOE	0.807140573081412
ASL	0.843853043932381
BAX	0.879467003205101
BIRC6	0.847208741654095
BRI3BP	0.894828087805847
CADM1	0.868161649432668
CARM1	0.847752897368282
CASP3	0.801972743628777
CASP8	0.838302860056998
CBX3	0.850610174131061
CD151	0.866800632457307
CDK2	0.821535581788096
CELF1	0.844285205082413
CFH	0.846258514265384
CHD1L	0.861655292658948
CHD4	0.793868215757039
CIRBP	0.912228247542447
CLIC1	0.911437336660315
CLIP1	0.798806429588338
COL18A1	0.794334321279928
COMT	0.826353253801516
CPS1	0.815078780154425
CPSF7	0.845924873729862
CRYL1	0.834351472965343
CSE1L	0.822119997028587
CTBS	0.860315372526534
CYP2C9	0.807619665617652
CYP2D6	0.839974385192974
CYP2E1	0.809355654613701
DDX3X	0.764715749198585
DENR	0.847521397118249
DHX9	0.773765149256539
DNM1L	0.802955516716198
DPP4	0.879071277915104
DPYS	0.87138004433358
DYNLL1	0.798922245723686
ECHS1	0.80024143352391
EHMT2	0.833302641280078
EIF2S2	0.809269275518799
EPCAM	0.890595654048328
FABP4	0.838926830338574
FAH	0.834983962199135
FAM83H	0.918372980761852
FBP1	0.825121262104078
FHIT	0.864598894234931
FHL2	0.891016407073404
FN1	0.757445442330419
FNDC3B	0.881544532551887
FOXK1	0.936309863595297
FUBP1	0.844942107063947
G6PD	0.810650162183103
GABPA	0.901337802477026
GMPS	0.747440367458832
GNMT	0.843422403132285
GNPAT	0.806441110683393
GOLM1	0.924071569049492
GOLPH3	0.754710313682746
GPT	0.799341177092139
GRN	0.845660905265407
HCFC1	0.869269320294838
HDAC1	0.774081942651313
HDAC2	0.819870271262492
HDAC6	0.820900525505156
HGS	0.781262719330955
HK1	0.834590832793924
HLA-A	0.781863500233403
HMGA1	0.860959237345999
HMGB3	0.89758617733552
HMGCS2	0.813490526853829
HNRNPA1	0.756244372170332
HNRNPC	0.762574349705062
HNRNPDL	0.80153610467259
HNRNPU	0.796411332536119
HPD	0.84629270212634
HSPA4	0.748823143214021
HSPB1	0.845814234093955
HSPG2	0.831335293363932
IGF2R	0.808850260773448
ILF2	0.7843095058355
IRF2BP2	0.893238327441071
KDM1A	0.841346219526653
KHDRBS1	0.787013142596434
KMO	0.809032920648872
LMNB1	0.829695004072716
MAN2A1	0.788098370836671
MAP1S	0.837648049640169
MAPK1	0.794687271248276
MAPK14	0.845406349234787
MAPK3	0.771514328753357
MARCKS	0.924964479211512
MAT1A	0.843813247877255
MBL2	0.81079986001672
METTL3	0.878093245994673
MLXIPL	0.863119570091163
MMP9	0.832415885147545
MPO	0.840463237929813
MRC1	0.851153876039043
MRPL38	0.811953563068807
MRPS5	0.769469508496787
MSH2	0.844167582409022
MTOR	0.78397216820273
NASP	0.841954001179847
NAT10	0.775742612681531
NCK1	0.762842679207824
NDRG1	0.907132174093397
NDRG2	0.894067527852182
NONO	0.821150486663341
NPM1	0.797228442038206
NUP155	0.821356564504172
NUP62	0.814475705050565
OAT	0.795424666950493
OGDHL	0.829542766979651
OGT	0.847547422884479
PARP1	0.837973739399563
PCK1	0.806921131504152
PCK2	0.856751809264164
PCNA	0.798145710371672
PDCD4	0.909595277603775
PDLIM3	0.854970539974063
PEA15	0.957814270915786
PEMT	0.86027495689744
