module,freq
M1,561
M2,281
M3,8
M4,1847
M5,1861
M6,1025
M7,575
M8,12
M9,5
M10,4
M11,19
M12,121
M13,6
M14,102
M15,2
M16,5
M17,80
M18,5
M19,9
M20,18
M21,8
M22,5
M23,3
